author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/306341798/;Москва;sale;flat;4;12;2;86.1;213680000;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553708/;Москва;sale;flat;9;12;2;88.0;59350000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679467/;Москва;sale;flat;4;20;2;64.29;24166611;Даниловский;Автозаводская ;26;Тульская;FORST
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040441/;Москва;sale;flat;4;6;2;102.7;114715900;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308553460/;Москва;sale;flat;9;12;2;99.0;96750000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;71281684;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306566143/;Москва;sale;flat;6;7;2;96.0;260000000;Хамовники; Льва Толстого;23к7с3;Парк Культуры;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259741/;Москва;sale;flat;24;42;2;43.0;21606000;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ID 10601;realtor;https://www.cian.ru/sale/flat/307801822/;Москва;sale;flat;5;5;2;42.3;28300000;Тверской;Тверская ;27С1;Маяковская;
VESPER;developer;https://www.cian.ru/sale/flat/308803465/;Москва;sale;flat;1;6;2;173.3;363930000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308343895/;Москва;sale;flat;8;29;2;69.1;31095000;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Главстрой;developer;https://www.cian.ru/sale/flat/306076580/;Москва;sale;flat;4;22;2;67.1;28625560;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Москва;sale;flat;16;41;2;51.0;34000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080996/;Москва;sale;flat;2;6;2;71.56;131670400;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Москва;sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Среда;developer;https://www.cian.ru/sale/flat/304753839/;Москва;sale;flat;12;30;2;56.31;21423871;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Москва;sale;flat;6;42;1;42.0;26000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Главстрой;developer;https://www.cian.ru/sale/flat/307942375/;Москва;sale;flat;8;13;2;53.25;25432093;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307703173/;Москва;sale;flat;6;22;2;85.0;50000000;Пресненский;Шмитовский проезд;16С2;Москва-Сити;Шмитовский 16
MR Group;developer;https://www.cian.ru/sale/flat/306614015/;Москва;sale;flat;3;28;2;60.6;22803806;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Москва;sale;flat;21;31;2;55.7;21990000;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
Sminex;developer;https://www.cian.ru/sale/flat/306341785/;Москва;sale;flat;2;12;1;83.3;172590000;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/305913436/;Москва;sale;flat;19;23;2;71.7;30990000;Басманный;набережная Академика Туполева;15;Бауманская;Каскад
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243023/;Москва;sale;flat;9;27;2;69.4;32340400;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Зульфия  Галяутдинова;realtor;https://www.cian.ru/sale/flat/308225788/;Москва;sale;flat;13;14;2;61.0;29000000;Гагаринский;Университетский проспект;6К2;Воробьёвы горы;
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Москва;sale;flat;1;9;2;45.0;17800000;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305111360/;Москва;sale;flat;4;16;2;37.0;19000000;Пресненский;Красногвардейский бульвар;5К2;Москва-Сити;
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/307935729/;Москва;sale;flat;8;10;2;59.7;55000000;Таганский;Котельническая набережная;1/15кВ;Таганская;
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307822693/;Москва;sale;flat;9;18;2;66.4;69700000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
ID 96167522;realtor;https://www.cian.ru/sale/flat/300137001/;Москва;sale;flat;6;9;1;37.0;7885000;Люблино; Верхние Поля;27С2;Братиславская;
MR Group;developer;https://www.cian.ru/sale/flat/308909118/;Москва;sale;flat;6;13;2;85.19;126021567;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 47664046;unknown;https://www.cian.ru/sale/flat/308204535/;Москва;sale;flat;5;17;2;65.2;21500000;Черемушки;Профсоюзная ;30К2;Профсоюзная;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;175450000;Якиманка;;;Боровицкая;Лаврушинский ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679729/;Москва;sale;flat;9;20;2;59.0;25370000;Даниловский;;;Тульская;Форст ЖК
ID 74991203;homeowner;https://www.cian.ru/sale/flat/308079051/;Москва;sale;flat;3;24;2;53.2;19570000;Донской;Новоданиловская набережная;8к2;Верхние котлы;Новоданиловская 8
Пионер;developer;https://www.cian.ru/sale/flat/303126557/;Москва;sale;flat;3;18;2;48.5;35800507;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Москва;sale;flat;6;17;1;38.0;9350000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
Absolute Premium;developer;https://www.cian.ru/sale/flat/308261025/;Москва;sale;flat;4;17;2;49.8;57968000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/305909779/;Москва;sale;flat;6;10;2;178.1;150000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Voller.one;real_estate_agent;https://www.cian.ru/sale/flat/305211958/;Москва;sale;flat;4;4;2;60.0;15500000;Сокольники;2-я Рыбинская ;13;Красносельская;Loft Garden
Tekta Group;developer;https://www.cian.ru/sale/flat/303224289/;Москва;sale;flat;16;34;2;42.4;22349040;Обручевский;;;Воронцовская;Эвер ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Москва;sale;flat;39;41;2;56.9;39000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
